['1552697217512', '192.168.50.145', '3.16', '10205FE010002C92', '0.826', '0.782', '-10.606', '5.128', '0.472', '-3.246', '0.238', '0.089', '-0.444', '1029.79', '-84']
['1552697217588', '192.168.50.145', 'NA', 'NA', '0.796', '0.812', '-10.585', '5.556', '-3.868', '-1.129', '0.250', '0.081', '-0.418', '1029.79', 'NA']
['1552697217618', '192.168.50.145', 'NA', 'NA', '0.796', '0.812', '-10.585', '5.556', '-3.868', '-1.129', '0.250', '0.081', '-0.418', '1029.79', 'NA']
['1552697217632', '192.168.50.145', '3.18', '10205FE010002C92', '0.683', '0.598', '-10.741', '-0.210', '0.656', '0.875', '0.251', '0.088', '-0.416', '1029.80', '-85']
['1552697217706', '192.168.50.145', 'NA', 'NA', '0.759', '0.906', '-10.661', '1.890', '1.155', '2.188', '0.238', '0.092', '-0.425', '1029.76', 'NA']
['1552697217734', '192.168.50.145', '9.76', '10205FE010002BEB', '0.759', '0.906', '-10.661', '1.890', '1.155', '2.188', '0.238', '0.092', '-0.425', '1029.76', '-83']
['1552697217748', '192.168.50.145', '3.12', '10205FE010002C92', '0.759', '0.906', '-10.661', '1.890', '1.155', '2.188', '0.238', '0.092', '-0.425', '1029.76', '-85']
['1552697217819', '192.168.50.145', 'NA', 'NA', '0.986', '0.738', '-10.694', '-8.391', '4.471', '2.266', '0.248', '0.091', '-0.420', '1029.69', 'NA']
['1552697217838', '192.168.50.145', '9.18', '10205FE010002BEB', '0.986', '0.738', '-10.694', '-8.391', '4.471', '2.266', '0.248', '0.091', '-0.420', '1029.69', '-83']
['1552697217859', '192.168.50.145', 'NA', 'NA', '0.986', '0.738', '-10.694', '-8.391', '4.471', '2.266', '0.248', '0.091', '-0.420', '1029.69', 'NA']
['1552697217939', '192.168.50.145', 'NA', 'NA', '1.121', '1.131', '-10.656', '1.067', '-4.497', '-1.304', '0.256', '0.107', '-0.406', '1029.73', 'NA']
['1552697217969', '192.168.50.145', 'NA', 'NA', '1.121', '1.131', '-10.656', '1.067', '-4.497', '-1.304', '0.256', '0.107', '-0.406', '1029.73', 'NA']
['1552697217983', '192.168.50.145', '3.14', '10205FE010002C92', '1.121', '1.131', '-10.656', '1.067', '-4.497', '-1.304', '0.256', '0.107', '-0.406', '1029.73', '-87']
['1552697218064', '192.168.50.145', 'NA', 'NA', '0.695', '1.256', '-10.549', '5.775', '-1.050', '-1.251', '0.254', '0.106', '-0.406', '1029.76', 'NA']
['1552697218097', '192.168.50.145', 'NA', 'NA', '0.695', '1.256', '-10.549', '5.775', '-1.050', '-1.251', '0.254', '0.106', '-0.406', '1029.76', 'NA']
['1552697218172', '192.168.50.145', 'NA', 'NA', '0.888', '1.134', '-10.616', '4.515', '-3.369', '-0.464', '0.255', '0.103', '-0.407', '1029.73', 'NA']
['1552697218191', '192.168.50.145', '9.77', '10205FE010002BEB', '0.888', '1.134', '-10.616', '4.515', '-3.369', '-0.464', '0.255', '0.103', '-0.407', '1029.73', '-83']
['1552697218212', '192.168.50.145', 'NA', 'NA', '0.810', '1.163', '-10.677', '3.273', '-1.829', '0.438', '0.243', '0.108', '-0.409', '1029.76', 'NA']
['1552697218285', '192.168.50.145', 'NA', 'NA', '0.592', '1.207', '-10.662', '3.631', '0.149', '2.608', '0.253', '0.100', '-0.418', '1029.76', 'NA']
['1552697218311', '192.168.50.145', '9.59', '10205FE010002BEB', '0.592', '1.207', '-10.662', '3.631', '0.149', '2.608', '0.253', '0.100', '-0.418', '1029.76', '-84']
['1552697218397', '192.168.50.145', 'NA', 'NA', '0.904', '1.315', '-10.397', '4.410', '-2.284', '3.474', '0.244', '0.106', '-0.427', '1029.74', 'NA']
['1552697218419', '192.168.50.145', '38.26', '10205FE010002A7B', '0.904', '1.315', '-10.397', '4.410', '-2.284', '3.474', '0.244', '0.106', '-0.427', '1029.74', '-90']
['1552697218441', '192.168.50.145', '21.04', '10205FE010002C95', '0.904', '1.315', '-10.397', '4.410', '-2.284', '3.474', '0.244', '0.106', '-0.427', '1029.74', '-94']
['1552697218510', '192.168.50.145', 'NA', 'NA', '0.982', '1.194', '-10.653', '4.629', '-2.704', '3.771', '0.256', '0.109', '-0.408', '1029.84', 'NA']
['1552697218551', '192.168.50.145', '37.04', '10205FE010002A85', '0.982', '1.194', '-10.653', '4.629', '-2.704', '3.771', '0.256', '0.109', '-0.408', '1029.84', '-100']
['1552697218644', '192.168.50.145', 'NA', 'NA', '0.735', '1.145', '-10.776', '0.919', '1.295', '2.686', '0.248', '0.108', '-0.407', '1029.77', 'NA']
['1552697218671', '192.168.50.145', 'NA', 'NA', '0.735', '1.145', '-10.776', '0.919', '1.295', '2.686', '0.248', '0.108', '-0.407', '1029.77', 'NA']
['1552697218684', '192.168.50.145', '18.47', '10205FE0100031F3', '0.735', '1.145', '-10.776', '0.919', '1.295', '2.686', '0.248', '0.108', '-0.407', '1029.77', '-103']
['1552697218758', '192.168.50.145', 'NA', 'NA', '0.808', '0.992', '-10.735', '-0.464', '-2.870', '3.395', '0.251', '0.107', '-0.406', '1029.71', 'NA']
['1552697218790', '192.168.50.145', '9.74', '10205FE010002BEB', '0.857', '1.232', '-10.441', '0.858', '-1.977', '3.955', '0.244', '0.105', '-0.426', '1029.75', '-84']
['1552697218804', '192.168.50.145', '3.14', '10205FE010002C92', '0.857', '1.232', '-10.441', '0.858', '-1.977', '3.955', '0.244', '0.105', '-0.426', '1029.75', '-87']
['1552697218883', '192.168.50.145', 'NA', 'NA', '0.815', '1.249', '-10.454', '5.766', '-2.765', '2.537', '0.251', '0.105', '-0.416', '1029.74', 'NA']
['1552697218913', '192.168.50.145', 'NA', 'NA', '0.970', '1.161', '-10.582', '1.680', '-3.351', '-0.429', '0.247', '0.106', '-0.416', '1029.72', 'NA']
['1552697218930', '192.168.50.145', '9.73', '10205FE010002BEB', '0.970', '1.161', '-10.582', '1.680', '-3.351', '-0.429', '0.247', '0.106', '-0.416', '1029.72', '-82']
['1552697219010', '192.168.50.145', 'NA', 'NA', '0.772', '1.469', '-10.562', '3.544', '-3.019', '0.446', '0.253', '0.108', '-0.406', '1029.77', 'NA']
['1552697219040', '192.168.50.145', '21.12', '10205FE010002C95', '0.517', '1.685', '-10.594', '7.639', '-2.975', '2.608', '0.250', '0.104', '-0.409', '1029.79', '-93']
['1552697219060', '192.168.50.145', '9.73', '10205FE010002BEB', '0.517', '1.685', '-10.594', '7.639', '-2.975', '2.608', '0.250', '0.104', '-0.409', '1029.79', '-83']
['1552697219132', '192.168.50.145', 'NA', 'NA', '0.331', '1.238', '-10.983', '2.257', '4.051', '3.281', '0.250', '0.100', '-0.411', '1029.74', 'NA']
